SUB_CATEGORY,Cancel_rate,Year,Month,Day
Acceptance Rate,"0,01 %",2024,December,16
Discipline Training,"0,26 %",2024,December,9
Discipline Training,"0,14 %",2024,December,16
Distribution,"0,15 %",2024,December,9
Distribution,"0,07 %",2024,December,16
Lack of Couriers,"1,56 %",2024,December,9
Lack of Couriers,"0,77 %",2024,December,16
Acceptance Rate,"0,00 %",2024,December,9
