SUB_CATEGORY,Cancel_rate,Year,Month,Day
Batch Bundling,"0,07 %",2024,December,16
Dispersion,"0,06 %",2024,December,23
Integration Error,"0,12 %",2024,December,16
Integration Error,"0,09 %",2024,December,23
Other,"0,10 %",2024,December,16
Other,"0,06 %",2024,December,23
Tablet Error,"0,01 %",2024,December,16
Batch Bundling,"0,00 %",2024,December,23
Tablet Error,"0,00 %",2024,December,23
