SUB_CATEGORY,Cancel_rate,Year,Month,Day
Discipline,"0,30 %",2024,December,16
Discipline,"0,43 %",2024,December,23
Early Regret,"0,25 %",2024,December,16
Early Regret,"0,07 %",2024,December,23


