SUB_CATEGORY,Cancel_rate,Year,Month,Day
Discipline Training,"0,33 %",2024,December,16
Discipline Training,"0,28 %",2024,December,23
Distribution,"0,03 %",2024,December,16
Lack of Couriers,"0,57 %",2024,December,16
Lack of Couriers,"0,83 %",2024,December,23
Distribution,"0,00 %",2024,December,23

