SUB_CATEGORY,Cancel_rate,Year,Month,Day
Batch Bundling,"0,06 %",2024,December,2
Batch Bundling,"0,12 %",2024,December,9
Dispersion,"0,02 %",2024,December,2
Integration Error,"0,03 %",2024,December,2
Integration Error,"0,06 %",2024,December,9
Other,"0,06 %",2024,December,2
Tablet Error,"0,01 %",2024,December,2
Dispersion,"0,00 %",2024,December,9
Other,"0,00 %",2024,December,9
Tablet Error,"0,00 %",2024,December,9
